confirmed_exchange_in_atom,confirmed_exchange_out_atom,unconfirmed_behavioral_in_atom,ibc_inbound_atom,ibc_outbound_atom,confirmed_exchange_gross_atom,confirmed_exchange_net_in_atom,all_behavioral_candidate_in_atom,ibc_gross_atom,ibc_net_inbound_atom,binance_usdt_range_pct_of_open,binance_usdt_base_volume_atom,binance_usdt_quote_volume,binance_usdt_trade_count,binance_usdt_realized_abs_return_pct,max_usdt_vs_usdc_low_discount_pct,max_usdt_vs_mark_low_discount_pct,max_usdt_vs_coinbase_low_discount_pct,start_utc,end_utc
214184.06767299998,215778.656488,36109.565376,26319.117196,14056.849518,429962.724161,-1594.5888150000246,250293.633049,40375.966714,12262.267677999998,1.6584105104458506,162523.76,759788.51865,3977.0,5.563289113866832,0.1504082509669047,0.0,0.10768899418479583,2025-09-10T20:30:00Z,2025-09-10T22:30:00Z
12287.100327,11599.129942,56874.718134,15662.958102,7321.89841,23886.230269,687.9703850000005,69161.818461,22984.856512,8341.059692,0.49040511727080116,49355.63,231646.49436,1770.0,3.836210712856425,0.10654165778819502,0.012877497497243429,0.12768674185997808,2025-09-11T20:30:00Z,2025-09-11T22:30:00Z
213071.007275,214021.939819,126018.358892,8250.943291,10944.466376,427092.947094,-950.9325439999811,339089.36616700003,19195.409667,-2693.5230850000007,0.8267966928132413,72112.74,340819.21475,1916.0,4.253563391776716,0.19063757678459137,0.02120890774124362,0.16920473773265332,2025-09-12T20:30:00Z,2025-09-12T22:30:00Z
29949.155299000002,32571.975845,141720.841306,9427.092618,7906.340599,62521.131144,-2622.820545999999,171669.996605,17333.433217,1520.7520190000005,0.5374121537825506,76664.88,370487.57724,2048.0,4.2415032163916955,0.18629683295384725,0.06134751463572341,0.12404382881949783,2025-09-13T20:30:00Z,2025-09-13T22:30:00Z
18741.267118,19035.236886,124566.701642,6491.126081,7246.189547,37776.504004,-293.969767999999,143307.96876,13737.315628,-755.0634659999996,0.9442060085836822,79878.68000000001,372533.79597,2299.0,5.0178929107738135,0.19350677273702876,0.007280445731039364,0.14963659683624453,2025-09-14T20:30:00Z,2025-09-14T22:30:00Z
183914.247357,185197.490372,126972.236992,8904.98156,8493.78685,369111.737729,-1283.2430150000146,310886.484349,17398.76841,411.19470999999976,0.6666666666666722,90250.01,407404.67775,1970.0,4.363304100548859,0.11086474501108556,0.0,0.1548330015483268,2025-09-15T20:30:00Z,2025-09-15T22:30:00Z
27753.991834,27410.185131000002,50616.240316999996,26659.340906999998,71871.745644,55164.176965000006,343.8067029999984,78370.232151,98531.08655099999,-45212.404737,0.7899934167215181,97917.62,445098.288,2141.0,4.620672182455765,0.15364354697101623,0.008445940013568354,0.11032656663724216,2025-09-16T20:30:00Z,2025-09-16T22:30:00Z
39650.701113,38385.473909,142979.626844,20280.708527,15055.776302,78036.17502200001,1265.2272040000025,182630.327957,35336.484829,5224.932224999999,2.0815074496056036,161991.7,740132.07317,5363.0,7.6967348730123675,0.17493986442160825,0.1253964930894691,0.1523063533507285,2025-09-17T20:30:00Z,2025-09-17T22:30:00Z
94367.956712,99190.995499,122387.14587600001,12290.578388,6024.914839,193558.952211,-4823.038786999998,216755.102588,18315.493227,6265.663549,0.7698887938408808,187514.38,879760.8796399999,3881.0,6.208774825945751,0.12801365478984916,0.012534592500412778,0.12806830309497474,2025-09-18T20:30:00Z,2025-09-18T22:30:00Z
20469.9983,18027.118140000002,60090.6501,5199.860095,8619.010493,38497.11644,2442.880159999997,80560.6484,13818.870588,-3419.1503979999998,0.7101642254771422,73489.97,330361.42485999997,1992.0,3.9814025353554383,0.20000000000001128,-0.02356626666648598,0.13351134846461,2025-09-19T20:30:00Z,2025-09-19T22:30:00Z
